Unicode;Character;pos;ag;id;dots-above;dots-below;hamza-above;hamza-below
08B5;ࢵ;inmed;ٯ;faqaf;0;1;0;0
08B5;ࢵ;finis;ٯ;qaf;0;1;0;0
0621;ء;equal;ء;hamza;0;0;0;0
0627;ا;equal;ا;alef;0;0;0;0
0628;ب;equal;ٮ;tooth;0;1;0;0
067B;ٻ;equal;ٮ;tooth;0;2;0;0
066E;ٮ;equal;ٮ;tooth;0;0;0;0
06C3;ة;equal;ه;heh;2;0;0;0
062A;ت;equal;ٮ;tooth;2;0;0;0
062B;ث;equal;ٮ;tooth;3;0;0;0
062C;ج;equal;ح;hah;0;1;0;0
062D;ح;equal;ح;hah;0;0;0;0
062E;خ;equal;ح;hah;1;0;0;0
062F;د;equal;د;dal;0;0;0;0
068A;ڊ;equal;د;dal;0;1;0;0
0630;ذ;equal;د;dal;1;0;0;0
0631;ر;equal;ر;reh;0;0;0;0
0694;ڔ;equal;ر;reh;0;1;0;0
0632;ز;equal;ر;reh;1;0;0;0
0633;س;equal;س;seen;0;0;0;0
069B;ڛ;equal;س;seen;0;3;0;0
075C;ݜ;equal;س;seen;4;0;0;0
0634;ش;equal;س;seen;3;0;0;0
0635;ص;equal;ص;sad;0;0;0;0
0636;ض;equal;ص;sad;1;0;0;0
0637;ط;equal;ط;tah;0;0;0;0
0638;ظ;equal;ط;tah;1;0;0;0
0639;ع;equal;ع;ain;0;0;0;0
063A;غ;equal;ع;ain;1;0;0;0
06A1;ڡ;inmed;ٯ;faqaf;0;0;0;0
06A1;ڡ;finis;ڡ;feh;0;0;0;0
0641;ف;inmed;ٯ;faqaf;1;0;0;0
0641;ف;finis;ڡ;feh;1;0;0;0
06A2;ڢ;inmed;ٯ;faqaf;0;1;0;0
06A2;ڢ;finis;ڡ;feh;0;1;0;0
06A3;ڣ;inmed;ٯ;faqaf;1;1;0;0
06A3;ڣ;finis;ڡ;feh;1;1;0;0
06A5;ڥ;inmed;ٯ;faqaf;0;3;0;0
06A5;ڥ;finis;ڡ;feh;0;3;0;0
066F;ٯ;inmed;ٯ;faqaf;0;0;0;0
066F;ٯ;finis;ٯ;qaf;0;0;0;0
0642;ق;inmed;ٯ;faqaf;2;0;0;0
0642;ق;finis;ٯ;qaf;2;0;0;0
06A7;ڧ;inmed;ٯ;faqaf;1;0;0;0
06A7;ڧ;finis;ٯ;qaf;1;0;0;0
06A8;ڨ;inmed;ٯ;faqaf;3;0;0;0
06A8;ڨ;finis;ٯ;qaf;3;0;0;0
0643;ك;finis;ک;kaf_new;0;0;0;0
06A9;ک;equal;ک;kaf;0;0;0;0
0644;ل;equal;ل;lam;0;0;0;0
0645;م;equal;م;meem;0;0;0;0
06BA;ں;inmed;ٮ;tooth;0;0;0;0
06BA;ں;finis;ں;noon;0;0;0;0
0646;ن;inmed;ٮ;tooth;1;0;0;0
0646;ن;finis;ں;noon;1;0;0;0
06B9;ڹ;inmed;ٮ;tooth;1;1;0;0
06B9;ڹ;finis;ں;noon;1;1;0;0
06C1;ه;equal;ه;heh;0;0;0;0
0648;و;equal;و;waw;0;0;0;0
0649;ى;inmed;ٮ;tooth;0;0;0;0
0649;ى;finis;ى;yeh;0;0;0;0
064A;ي;inmed;ٮ;tooth;0;2;0;0
064A;ي;finis;ى;yeh;0;2;0;0
06D2;ے;equal;ے;retro;0;0;0;0
06DD;۝;equal;۝;sep;0;0;0;0
0765;ݥ;equal;م;meem;0;1;0;0
